Line-number,Type,State,County,Town,FIPS,Server-owner,ArcGIS-url,https,Show-contents,SSL,Open,Comment
1,0,,,,,,,,,,,When you use this resource please credit: Joseph Elfelt - https://mappingsupport.com
2,0,,,,,,,,,,,To donate to support this work please visit https://mappingsupport.com/p2/gissurfer-donate.html
3,0,,,,,,,,,,,Data you see here is based on a PDF file dated August 10  2022
4,0,,,,,,,,,,,PDF file online at https://mappingsupport.com/p/surf_gis/list-federal-state-county-city-GIS-servers.pdf
5,0,,,,,,,,,,,Page 2 of the PDF file contains a description of the fields in this csv file.
6,1,,,,,USDA - Agricultural Research Service,https://www.nrrig.mwa.ars.usda.gov/server40/rest/services,Y,Y,OK,Y,
7,1,,,,,USDA - Bio Gas,https://www.usda.gov/giseas1/rest/services/BioGas,Y,Y,OK,Y, 
8,1,,,,,USDA - Bio Gas,https://www.usda.gov/giseas1/rest/services/BioRefineryTool,Y,Y,OK,Y,
9,1,,,,,USDA - Foreign Agricultural Service,https://geo.fas.usda.gov/arcgis1/rest/services,Y,Y,OK,Y, 
10,1,,,,,USDA - Foreign Agricultural Service,https://geo.fas.usda.gov/arcgis2/rest/services,Y,Y,OK,Y,
11,1,,,,,USDA - Economic Research Service,https://gis.ers.usda.gov/arcgis/rest/services,Y,Y,OK,Y,
12,1,,,,,USDA - Farm Service Agency,https://gis.apfo.usda.gov/arcgis/rest/services,Y,Y,OK,Y,Includes NAIP as ImagerServer 
13,1,,,,,USDA - Forest Service - Enterprise Data Warehouse (EDW),https://apps.fs.usda.gov/arcx/rest/services/EDW,Y,Y,OK,Y,
14,1,,,,,USDA - Forest Service - Forest Atlas,https://apps.fs.usda.gov/arcx/rest/services/RDW_FIA_ForestAtlas,Y,Y,OK,Y,
15,1,,,,,USDA - Forest Service - Forest health,https://apps.fs.usda.gov/fsgisx02/rest/services/foresthealth,Y,Y,OK,Y,
16,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx01/rest/services,Y,Y,OK,Y, RDW_Wildfire has wildfire risk assessment 
17,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx02/rest/services,Y,Y,OK,Y, 
18,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx03/rest/services,Y,Y,OK,Y, 
19,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx05/rest/services,Y,Y,OK,Y, 
20,1,,,,,USDA - Forest Service - Various links,https://fsapps.nwcg.gov/psp/arcgis/rest/services,Y,Y,OK,Y, wildfire related data 
21,1,,,,,USDA - Natural Resources Conservation Service,https://nrcsgeoservices.sc.egov.usda.gov/arcgis/rest/services,Y,Y,OK,Y,
22,1,,,,,USDA - Rural Development,https://rdgdwe.sc.egov.usda.gov/arcgis/rest/services,Y,Y,OK,Y,
23,1,,,,,DOC - Census Bureau,https://tigerweb.geo.census.gov/arcgis/rest/services,Y,Y,OK,Y, 
24,1,,,,,DOC - Census Bureau,https://mtgis-server.geo.census.gov/arcgis/rest/services,Y,Y,OK,Y,
25,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://seamlessrnc.nauticalcharts.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 
26,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://coast.noaa.gov/arcgis/rest/services/,Y,Y,OK,Y, 
27,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maps.coast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 
28,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maps1.coast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 
29,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maps2.coast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 
30,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maritimeboundaries.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 
31,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://tiles.arcgis.com/tiles/C8EMgrsFcRFL6LrL/arcgis/rest/services,Y,Y,OK,Y, 
32,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://gis.charttools.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, Latest digital marine charts 
33,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://satellitemaps.nesdis.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, See: https://www.nesdis.noaa.gov 
34,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://services.dat.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, nws_damageassessmenttoolkit: preliminary storm damage 
35,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://services.dat.noaa.gov/arcgis/rest/services/nws_damageassessmenttoolkit/DamageViewer/MapServer,Y,Y,OK,Y,tornado data
36,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://services1.arcgis.com/2iUE8l8JKrP2tygQ/ArcGIS/rest/services,Y,Y,OK,Y, A lot of Georgia layers but also some USA weather layers 
37,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://mapservice.nohrsc.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, Includes stream gages 
38,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://mapservices.weather.noaa.gov/eventdriven/rest/services,Y,Y,OK,Y, Serves this map: https://viewer.geospatial.weather.gov 
39,1,,,,,DOC - National Center for Environmental Prediction,https://idpgis.ncep.noaa.gov/arcgis/rest/services,Y,Y,OK,Y,Includes weather service layers 
